;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/category_mod_tower;Defensive Towers;;;;Abwehrtürme;;;;;
gui/hud/building_name/tower_corrosive;Corrosive Gun Tower;;;;Säureschuss-Turm;;;;;
gui/hud/building_description/tower_corrosive;A defensive tower that shoots highly effective acid.;;;;Ein Verteidigungsturm, der hochwirksame Säure verschießt.;;;;;
gui/menu/research/name/towers_corrosive_lvl_1;Corrosive Gun Tower - Level 1;;;;Säureschuss-Turm - Level 1;;;;;
gui/menu/research/name/towers_corrosive_lvl_2;Corrosive Gun Tower - Level 2;;;;Säureschuss-Turm - Level 2;;;;;
gui/menu/research/name/towers_corrosive_lvl_3;Corrosive Gun Tower - Level 3;;;;Säureschuss-Turm - Level 3;;;;;
gui/menu/research/description/towers_corrosive_lvl_1;Through the research of a special alloy, it will be possible to build towers that shoot highly corrosive acid.;;;;Durch die Erforschung einer Speziallegierung wird es möglich sein, Türme zu bauen,welche hochätzende Säure verschießen.;;;;;
gui/menu/research/description/towers_corrosive_lvl_2;This research strengthens the special alloy so that even more corrosive acid can be used.;;;;Diese Forschung stärkt die Speziallegierung, so dass noch ätzendere Säure verwendet werden kann.;;;;;
gui/menu/research/description/towers_corrosive_lvl_3;This research strengthens the special alloy so that even more corrosive acid can be used.;;;;Diese Forschung stärkt die Speziallegierung, so dass noch ätzendere Säure verwendet werden kann.;;;;;
gui/hud/building_name/tower_rockets_swarm;Swarm Rocket Tower;;;;Schwarmraketenturm;;;;;
gui/hud/building_description/tower_rockets_swarm;This tower is a further development of an experimental weapon and fires small rockets in quick succession like its original.;;;;Dieser Turm ist eine Weiterentwicklung einer experimentellen Waffe und feuert wie sein Original kleine Raketen in schneller Folge ab.;;;;;
gui/menu/research/name/towers_rockets_swarm_lvl_1;Swarm Rocket Tower - Level 1;;;;Schwarmraketenturm - Level 1;;;;;
gui/menu/research/name/towers_rockets_swarm_lvl_2;Swarm Rocket Tower - Level 2;;;;Schwarmraketenturm - Level 2;;;;;
gui/menu/research/name/towers_rockets_swarm_lvl_3;Swarm Rocket Tower - Level 3;;;;Schwarmraketenturm - Level 3;;;;;
gui/menu/research/description/towers_rockets_swarm_lvl_1;When you think of experimental weapons, you certainly don't think of a rocket launcher that fires small rockets every second. Well, that's exactly what this is! What's more, it's mounted on a tower.;;;;Wenn man an experimentelle Waffen denkt, denkt man sicher nicht an einen Raketenwerfer der im Sekundentakt kleine Raketen abfeuert. Tja, genau darum handelt es sich hier! Und das montiert auf einen Turm.;;;;;
gui/menu/research/description/towers_rockets_swarm_lvl_2;The speed of the missiles and the damage are strengthened by this research. Even more fun for the Riftbreaker!;;;;Die Geschwindigkeit der Raketen und der Schaden werden durch diese Forschung verstärkt. Noch mehr Spaß für den Riftbreaker!;;;;;
gui/menu/research/description/towers_rockets_swarm_lvl_3;The speed of the missiles and the damage are strengthened by this research. Even more fun for the Riftbreaker!;;;;Die Geschwindigkeit der Raketen und der Schaden werden durch diese Forschung verstärkt. Noch mehr Spaß für den Riftbreaker!;;;;;
gui/hud/building_name/tower_rockets_nuke;Little Nuke Tower;;;;"Little Nuke"-Turm;;;;;
