;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/name/titanium_synthesizer;Titanium Synthesizer Technology
gui/menu/research/description/titanium_synthesizer;Upon further analysis of titanium, we made a breakthrough to synthesize titanium from energy but at the cost of high energy consumption.
gui/menu/research/name/titanium_synthesizer_lvl_2;Titanium Synthesizer - Level 2
gui/menu/research/description/titanium_synthesizer_lvl_2;Further improves the titanium synthesizer but also increases the energy consumption.
gui/menu/research/name/titanium_synthesizer_lvl_3;Titanium Synthesizer - Level 3
gui/menu/research/description/titanium_synthesizer_lvl_3;Further improves the titanium synthesizer but also increases the energy consumption.
gui/menu/research/name/uranium_synthesizer;Uranium Synthesizer Technology
gui/menu/research/description/uranium_synthesizer;Upon further analysis of uranium, we made a breakthrough to synthesize uranium from energy but at the cost of high energy consumption.
gui/menu/research/name/uranium_synthesizer_lvl_2;Uranium Synthesizer - Level 2
gui/menu/research/description/uranium_synthesizer_lvl_2;Further improves the uranium synthesizer but also increases the energy consumption.
gui/menu/research/name/uranium_synthesizer_lvl_3;Uranium Synthesizer - Level 3
gui/menu/research/description/uranium_synthesizer_lvl_3;Further improves the uranium synthesizer but also increases the energy consumption.
gui/menu/research/name/palladium_synthesizer;Palladium Synthesizer Technology
gui/menu/research/description/palladium_synthesizer;Upon further analysis of Palladium, we made a breakthrough to synthesize palladium from energy but at the cost of high energy consumption.
gui/menu/research/name/palladium_synthesizer_lvl_2;Palladium Synthesizer - Level 2
gui/menu/research/description/palladium_synthesizer_lvl_2;Further improves the palladium synthesizer but also increases the energy consumption.
gui/menu/research/name/palladium_synthesizer_lvl_3;Palladium Synthesizer - Level 3
gui/menu/research/description/palladium_synthesizer_lvl_3;Further improves the palladium synthesizer but also increases the energy consumption.
gui/menu/research/name/cobalt_synthesizer;Cobalt Synthesizer Technology
gui/menu/research/description/cobalt_synthesizer;Upon further analysis of cobalt, we made a breakthrough to synthesize cobalt from energy but at the cost of high energy consumption.
gui/menu/research/name/cobalt_synthesizer_lvl_2;Cobalt Synthesizer - Level 2
gui/menu/research/description/cobalt_synthesizer_lvl_2;Further improves the cobalt synthesizer but also increases the energy consumption.
gui/menu/research/name/cobalt_synthesizer_lvl_3;Cobalt Synthesizer - Level 3
gui/menu/research/description/cobalt_synthesizer_lvl_3;Further improves the cobalt synthesizer but also increases the energy consumption.
gui/menu/research/name/hazenite_synthesizer;Hazenite Synthesizer Technology
gui/menu/research/description/hazenite_synthesizer;Upon further analysis of hazenite, we made a breakthrough to synthesize hazenite from energy but at the cost of high energy consumption.
gui/menu/research/name/hazenite_synthesizer_lvl_2;Hazenite Synthesizer - Level 2
gui/menu/research/description/hazenite_synthesizer_lvl_2;Further improves the hazenite synthesizer but also increases the energy consumption.
gui/menu/research/name/hazenite_synthesizer_lvl_3;Hazenite Synthesizer - Level 3
gui/menu/research/description/hazenite_synthesizer_lvl_3;Further improves the hazenite synthesizer but also increases the energy consumption.
gui/menu/research/name/rhodonite_synthesizer;Rhodonite Synthesizer Technology
gui/menu/research/description/rhodonite_synthesizer;Upon further analysis of rhodonite, we made a breakthrough to synthesize rhodonite from energy but at the cost of high energy consumption.
gui/menu/research/name/rhodonite_synthesizer_lvl_2;Rhodonite Synthesizer - Level 2
gui/menu/research/description/rhodonite_synthesizer_lvl_2;Further improves the rhodonite synthesizer but also increases the energy consumption.
gui/menu/research/name/rhodonite_synthesizer_lvl_3;Rhodonite Synthesizer - Level 3
gui/menu/research/description/rhodonite_synthesizer_lvl_3;Further improves the rhodonite synthesizer but also increases the energy consumption.
gui/menu/research/name/ferdonite_synthesizer;Ferdonite Synthesizer Technology
gui/menu/research/description/ferdonite_synthesizer;Upon further analysis of ferdonite, we made a breakthrough to synthesize ferdonite from energy but at the cost of high energy consumption.
gui/menu/research/name/ferdonite_synthesizer_lvl_2;Ferdonite Synthesizer - Level 2
gui/menu/research/description/ferdonite_synthesizer_lvl_2;Further improves the ferdonite synthesizer but also increases the energy consumption.
gui/menu/research/name/ferdonite_synthesizer_lvl_3;Ferdonite Synthesizer - Level 3
gui/menu/research/description/ferdonite_synthesizer_lvl_3;Further improves the ferdonite synthesizer but also increases the energy consumption.
gui/menu/research/name/tanzanite_synthesizer;Tanzanite Synthesizer Technology
gui/menu/research/description/tanzanite_synthesizer;Upon further analysis of tanzanite, we made a breakthrough to synthesize tanzanite from energy but at the cost of high energy consumption.
gui/menu/research/name/tanzanite_synthesizer_lvl_2;Tanzanite Synthesizer - Level 2
gui/menu/research/description/tanzanite_synthesizer_lvl_2;Further improves the tanzanite synthesizer but also increases the energy consumption.
gui/menu/research/name/tanzanite_synthesizer_lvl_3;Tanzanite Synthesizer - Level 3
gui/menu/research/description/tanzanite_synthesizer_lvl_3;Further improves the tanzanite synthesizer but also increases the energy consumption.
